"round_id","condition","participant_id","selected_elements","trust_article","trust_image"
55,"color",1,"Headline","6","7"
56,"no_color",2,"Headline;Topic","6","7"
57,"color",1,"Headline;Topic","7","7"
58,"nolabel",4,"Topic","4","4"
59,"c2pa",3,"Topic","7","7"
60,"no_color",5,"Image label","7","6"
61,"c2pa",6,"Picture","1","1"
62,"color",1,"Picture;Headline;Topic","6","7"
64,"color",8,"Picture;Headline","5","5"
65,"c2pa",6,"Headline","1","1"
66,"c2pa",6,"Headline","1","1"
67,"no_color",5,"Image label;Topic","6","7"
68,"nolabel",7,"Topic","6","6"
69,"no_color",9,"Image label;Headline","4","5"
70,"c2pa",3,"Headline","6","6"
71,"no_color",5,"Image label;Topic","5","6"
72,"color",8,"Headline","5","5"
73,"c2pa",3,"Headline","5","6"
74,"color",8,"Picture","5","5"
75,"c2pa",10,"Headline;Topic","4","6"
76,"no_color",9,"Headline","4","5"
77,"nolabel",7,"Don't know/None of these","1","1"
79,"no_color",9,"Headline","5","5"
81,"nolabel",7,"Headline","5","5"
82,"nolabel",11,"Picture","5","4"
83,"no_color",13,"Headline;Topic","5","4"
84,"color",12,"Topic","4","4"
85,"nolabel",4,"Topic","4","4"
86,"no_color",2,"Headline;Topic","6","6"
87,"c2pa",10,"Headline;Topic","3","4"
88,"c2pa",14,"Headline;Topic","4","5"
89,"nolabel",11,"Image label","6","6"
90,"no_color",2,"Headline;Topic","4","5"
91,"c2pa",10,"Headline;Topic","4","5"
92,"no_color",13,"Topic","4","5"
93,"nolabel",4,"Topic","4","4"
94,"no_color",13,"Headline","5","6"
95,"nolabel",11,"Headline","7","7"
96,"c2pa",14,"Picture;Headline;Topic","6","5"
97,"nolabel",15,"Headline","4","6"
98,"c2pa",14,"Headline;Topic","5","5"
99,"no_color",16,"Topic","2","2"
100,"nolabel",18,"Topic","3","4"
101,"c2pa",17,"Headline","4","4"
102,"no_color",20,"Topic","6","7"
103,"color",19,"Topic","4","4"
104,"nolabel",15,"Picture","5","5"
105,"c2pa",21,"Headline;Topic","4","4"
106,"no_color",16,"Topic","3","2"
107,"color",12,"Picture","5","6"
108,"nolabel",22,"Headline","2","3"
109,"nolabel",15,"Headline","4","4"
110,"no_color",16,"Headline","3","3"
111,"color",19,"Headline","4","4"
112,"color",12,"Headline","6","5"
113,"color",19,"Headline","4","4"
114,"color",23,"Headline;Topic","5","5"
115,"no_color",20,"Image label;Topic","6","7"
116,"c2pa",21,"Headline;Topic","4","4"
117,"nolabel",18,"Topic","2","4"
118,"no_color",20,"Image label","6","6"
119,"no_color",24,"Headline;Topic","4","4"
120,"c2pa",17,"Headline;Topic","4","4"
121,"color",23,"Picture;Headline;Topic","6","6"
122,"color",27,"Headline","7","7"
123,"color",23,"Picture;Headline;Topic","6","6"
124,"nolabel",18,"Topic","4","4"
125,"nolabel",26,"Headline;Topic","6","6"
126,"no_color",24,"Headline;Topic","4","4"
127,"color",27,"Headline","3","7"
128,"c2pa",25,"Image label;Headline","4","4"
129,"no_color",24,"Headline;Topic","4","4"
130,"color",27,"Headline;Topic","7","7"
131,"nolabel",22,"Topic","1","2"
132,"no_color",28,"Picture;Headline","3","4"
